종목코드,종목명,종가,대비,시가,고가,저가,현물가,정산가,거래량,거래대금,미결제약정
"B0165505","코스피200 C 202605   505.0 (야간)",,,,,,"0.00",,"0","0.0","3"
"B0165505","코스피200 C 202605   505.0 (주간)",,,,,,"0.00",,"0","0.0","3"
"B0165507","코스피200 C 202605   507.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165507","코스피200 C 202605   507.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165510","코스피200 C 202605   510.0 (야간)",,,,,,"0.00",,"0","0.0","4"
"B0165510","코스피200 C 202605   510.0 (주간)",,,,,,"0.00",,"0","0.0","4"
"B0165512","코스피200 C 202605   512.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165512","코스피200 C 202605   512.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165515","코스피200 C 202605   515.0 (야간)",,,,,,"0.00",,"0","0.0","3"
"B0165515","코스피200 C 202605   515.0 (주간)",,,,,,"0.00",,"0","0.0","3"
"B0165517","코스피200 C 202605   517.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165517","코스피200 C 202605   517.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165520","코스피200 C 202605   520.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165520","코스피200 C 202605   520.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165522","코스피200 C 202605   522.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165522","코스피200 C 202605   522.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165525","코스피200 C 202605   525.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165525","코스피200 C 202605   525.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165527","코스피200 C 202605   527.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165527","코스피200 C 202605   527.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165530","코스피200 C 202605   530.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165530","코스피200 C 202605   530.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165532","코스피200 C 202605   532.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165532","코스피200 C 202605   532.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165535","코스피200 C 202605   535.0 (야간)",,,,,,"0.00",,"0","0.0","3"
"B0165535","코스피200 C 202605   535.0 (주간)",,,,,,"0.00",,"0","0.0","3"
"B0165537","코스피200 C 202605   537.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165537","코스피200 C 202605   537.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165540","코스피200 C 202605   540.0 (야간)",,,,,,"0.00",,"0","0.0","3"
"B0165540","코스피200 C 202605   540.0 (주간)",,,,,,"0.00",,"0","0.0","3"
"B0165542","코스피200 C 202605   542.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165542","코스피200 C 202605   542.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165545","코스피200 C 202605   545.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165545","코스피200 C 202605   545.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165547","코스피200 C 202605   547.5 (야간)",,,,,,"0.00",,"0","0.0","1"
