idx,매물ID,상세링크,error
340,41356392,https://fem.encar.com/cars/detail/41356392?advClickPosition=mweb_mhightlight_g90_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
341,41339043,https://fem.encar.com/cars/detail/41339043?advClickPosition=mweb_mhightlight_g91_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
342,41338223,https://fem.encar.com/cars/detail/41338223?advClickPosition=mweb_mhightlight_g92_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
343,41210437,https://fem.encar.com/cars/detail/41210437?advClickPosition=mweb_mhightlight_g93_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
344,38894705,https://fem.encar.com/cars/detail/38894705?advClickPosition=mweb_mhightlight_g94_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
345,41194589,https://fem.encar.com/cars/detail/41194589?advClickPosition=mweb_mhightlight_g95_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
346,39496756,https://fem.encar.com/cars/detail/39496756?advClickPosition=mweb_mhightlight_g96_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
347,41119428,https://fem.encar.com/cars/detail/41119428?advClickPosition=mweb_mhightlight_g97_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
348,40978565,https://fem.encar.com/cars/detail/40978565?advClickPosition=mweb_mhightlight_g98_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
349,41415132,https://fem.encar.com/cars/detail/41415132?advClickPosition=mweb_mhightlight_g99_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
350,41409168,https://fem.encar.com/cars/detail/41409168?advClickPosition=mweb_mhightlight_g100_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
351,41287390,https://fem.encar.com/cars/detail/41287390?advClickPosition=mweb_mhightlight_g101_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
352,41647957,https://fem.encar.com/cars/detail/41647957?advClickPosition=mweb_mhightlight_g102_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
353,41624615,https://fem.encar.com/cars/detail/41624615?advClickPosition=mweb_mhightlight_g103_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
354,40978136,https://fem.encar.com/cars/detail/40978136?advClickPosition=mweb_mhightlight_g104_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
355,40976623,https://fem.encar.com/cars/detail/40976623?advClickPosition=mweb_mhightlight_g105_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
356,40289434,https://fem.encar.com/cars/detail/40289434?advClickPosition=mweb_mhightlight_g106_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
357,40489892,https://fem.encar.com/cars/detail/40489892?advClickPosition=mweb_mhightlight_g107_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
358,41586532,https://fem.encar.com/cars/detail/41586532?advClickPosition=mweb_mhightlight_g108_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
359,41636434,https://fem.encar.com/cars/detail/41636434?advClickPosition=mweb_mhightlight_g109_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
360,41520484,https://fem.encar.com/cars/detail/41520484?advClickPosition=mweb_mhightlight_g110_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
361,41650932,https://fem.encar.com/cars/detail/41650932?advClickPosition=mweb_mhightlight_g111_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
362,41399783,https://fem.encar.com/cars/detail/41399783?advClickPosition=mweb_mhightlight_g112_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
363,41527800,https://fem.encar.com/cars/detail/41527800?advClickPosition=mweb_mhightlight_g113_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
364,41621937,https://fem.encar.com/cars/detail/41621937?advClickPosition=mweb_mhightlight_g114_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
365,41645512,https://fem.encar.com/cars/detail/41645512?advClickPosition=mweb_mhightlight_g115_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
366,41022044,https://fem.encar.com/cars/detail/41022044?advClickPosition=mweb_mhightlight_g116_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
367,41590202,https://fem.encar.com/cars/detail/41590202?advClickPosition=mweb_mhightlight_g117_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
368,41553674,https://fem.encar.com/cars/detail/41553674?advClickPosition=mweb_mhightlight_g118_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
369,41644698,https://fem.encar.com/cars/detail/41644698?advClickPosition=mweb_mhightlight_g119_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
370,41206705,https://fem.encar.com/cars/detail/41206705?advClickPosition=mweb_mhightlight_g120_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
371,41654097,https://fem.encar.com/cars/detail/41654097?advClickPosition=mweb_mhightlight_g121_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
372,40854369,https://fem.encar.com/cars/detail/40854369?advClickPosition=mweb_mhightlight_g122_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
373,41504774,https://fem.encar.com/cars/detail/41504774?advClickPosition=mweb_mhightlight_g123_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
374,41628178,https://fem.encar.com/cars/detail/41628178?advClickPosition=mweb_mhightlight_g124_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
375,41287033,https://fem.encar.com/cars/detail/41287033?advClickPosition=mweb_mhightlight_g125_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
376,41305854,https://fem.encar.com/cars/detail/41305854?advClickPosition=mweb_mhightlight_g126_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
377,41433133,https://fem.encar.com/cars/detail/41433133?advClickPosition=mweb_mhightlight_g127_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
378,41390995,https://fem.encar.com/cars/detail/41390995?advClickPosition=mweb_mhightlight_g128_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
